,Name,Salary,Position,TeamAbbrev,Projection,Custom,Exposure,ID,AvgPointsPerGame
0,Viktor Hovland,10900,G,John Deere Classic,79.1,80.0,50,Viktor Hovland (12940741),80.0
1,Collin Morikawa,10700,G,John Deere Classic,78.4,79.0,50,Collin Morikawa (12940742),79.0
10,Daniel Berger,9300,G,John Deere Classic,62.5,62.5,50,Daniel Berger (12940751),62.5
100,Ben Crane,6500,G,John Deere Classic,44.3,44.3,50,Ben Crane (12940841),44.3
101,Chad Campbell,6500,G,John Deere Classic,41.4,41.4,50,Chad Campbell (12940842),41.4
102,Alex Cejka,6500,G,John Deere Classic,46.7,46.7,50,Alex Cejka (12940843),46.7
103,Chase Wright,6400,G,John Deere Classic,51.8,51.8,50,Chase Wright (12940844),51.8
104,Richy Werenski,6400,G,John Deere Classic,47.3,47.3,50,Richy Werenski (12940845),47.3
105,Anirban Lahiri,6400,G,John Deere Classic,44.1,44.1,50,Anirban Lahiri (12940846),44.1
106,Sang-Moon Bae,6400,G,John Deere Classic,42.3,42.3,50,Sang-Moon Bae (12940847),42.3
107,Scott Langley,6400,G,John Deere Classic,48.6,48.6,50,Scott Langley (12940848),48.6
108,David Lingmerth,6400,G,John Deere Classic,53.2,53.2,50,David Lingmerth (12940849),53.2
109,Arjun Atwal,6400,G,John Deere Classic,34.7,34.7,50,Arjun Atwal (12940850),34.7
11,Ryan Moore,9200,G,John Deere Classic,63.6,63.6,50,Ryan Moore (12940752),63.6
110,Brendon Todd,6400,G,John Deere Classic,41.9,41.9,50,Brendon Todd (12940851),41.9
111,Michael Kim,6400,G,John Deere Classic,29.6,29.6,50,Michael Kim (12940852),29.6
112,Robert Garrigus,6300,G,John Deere Classic,51.2,51.2,50,Robert Garrigus (12940853),51.2
113,Whee Kim,6300,G,John Deere Classic,32.1,32.1,50,Whee Kim (12940854),32.1
114,Cody Gribble,6300,G,John Deere Classic,40.4,40.4,50,Cody Gribble (12940855),40.4
115,Kelly Kraft,6300,G,John Deere Classic,46.6,46.6,50,Kelly Kraft (12940856),46.6
116,Derek Fathauer,6300,G,John Deere Classic,52.2,52.2,50,Derek Fathauer (12940857),52.2
117,Julian Etulain,6300,G,John Deere Classic,57.0,57.0,50,Julian Etulain (12940858),57.0
118,Anders Albertson,6300,G,John Deere Classic,42.3,42.3,50,Anders Albertson (12940859),42.3
119,Tyrone Van Aswegen,6300,G,John Deere Classic,40.0,40.0,50,Tyrone Van Aswegen (12940860),40.0
12,Sam Burns,9100,G,John Deere Classic,63.0,63.0,50,Sam Burns (12940753),63.0
120,Satoshi Kodaira,6300,G,John Deere Classic,34.2,34.2,50,Satoshi Kodaira (12940861),34.2
121,Chris Thompson,6200,G,John Deere Classic,30.0,30.0,50,Chris Thompson (12940862),30.0
122,Tom Lovelady,6200,G,John Deere Classic,36.5,36.5,50,Tom Lovelady (12940863),36.5
123,John Senden,6200,G,John Deere Classic,40.7,40.7,50,John Senden (12940864),40.7
124,Jose de Jesus Rodriguez,6200,G,John Deere Classic,43.5,43.5,50,Jose de Jesus Rodriguez (12940865),43.5
125,Boo Weekley,6200,G,John Deere Classic,56.3,56.3,50,Boo Weekley (12940866),56.3
126,Austin Connelly,6200,G,John Deere Classic,21.1,21.1,50,Austin Connelly (12940867),21.1
127,Billy Hurley,6200,G,John Deere Classic,41.4,41.4,50,Billy Hurley (12940868),41.4
128,George McNeill,6200,G,John Deere Classic,44.7,44.7,50,George McNeill (12940869),44.7
