,Name,Position,TeamAbbrev,Vegas Total,VEGAS,Salary,GPP ALGO,Last 4,L4: Value,Proj #1,Proj #2,Custom,Avg Proj,DVP L14,DVP L14 %ofFP,ID,AvgPointsPerGame
0,James Harden,PG/SG,HOU,116.0,-4.5,11200,,51.4,4.6,56.0,65.8,70.5,64.1,47.0,19.10%,James Harden (12151255),56.0
1,LeBron James,SF/PF,LAL,122.0,-5.5,11100,,65.6,5.9,61.0,57.8,63.7,60.8,50.8,20.50%,LeBron James (12151259),61.0
10,Damian Lillard,PG,POR,112.0,2.5,8800,,41.8,4.8,39.8,46.1,48.4,44.7,31.2,13.70%,Damian Lillard (12151290),39.8
100,JaVale McGee,C,LAL,122.0,-5.5,4400,,17.6,4.0,26.4,22.3,24.5,24.4,58.3,23.60%,JaVale McGee (12151676),26.4
101,Kyle O'Quinn,C/PF,IND,108.25,-1.0,4400,,13.1,3.0,22.2,20.9,21.6,21.5,58.5,23.20%,Kyle O'Quinn (12151709),22.2
102,Dwight Powell,C,DAL,107.25,1.0,4300,,29.3,6.8,28.9,27.4,28.2,28.1,58.4,25.30%,Dwight Powell (12151685),28.9
103,Al-Farouq Aminu,SF/PF,POR,112.0,2.5,4300,,25.4,5.9,22.5,25.9,27.2,25.2,60.9,26.70%,Al-Farouq Aminu (12151687),22.5
104,Reggie Bullock,SG/SF,LAL,122.0,-5.5,4300,,24.2,5.6,23.3,23.7,26.1,24.4,45.6,18.50%,Reggie Bullock (12151695),23.3
105,Gordon Hayward,SF/PF,BOS,114.5,-2.5,4300,,27.4,6.4,23.4,23.2,24.6,23.7,43.8,20.30%,Gordon Hayward (12151700),23.4
106,Dario Saric,PF,MIN,120.0,-5.0,4300,,22.9,5.3,23.2,23.7,25.8,24.2,40.4,17.20%,Dario Saric (12151682),23.2
107,Marcus Smart,PG/SG,BOS,114.5,-2.5,4300,,22.1,5.1,24.3,23.0,24.5,23.9,37.8,17.50%,Marcus Smart (12151691),24.3
108,Luke Kennard,SG/SF,DET,107.5,4.0,4200,,24.4,5.8,20.1,19.2,19.8,19.7,46.1,19.30%,Luke Kennard (12151704),20.1
109,P.J. Tucker,SF/PF,HOU,116.0,-4.5,4100,,25.9,6.3,19.6,21.1,22.6,21.1,44.6,18.10%,P.J. Tucker (12151722),19.6
11,D'Angelo Russell,PG/SG,BKN,121.0,-5.5,8700,,48.7,5.6,50.4,42.8,47.0,46.8,54.4,21.40%,D'Angelo Russell (12151297),50.4
110,Jae Crowder,SF/PF,UTA,118.25,-9.5,4100,,26.8,6.5,23.3,24.0,26.0,24.5,44.3,19.30%,Jae Crowder (12151726),23.3
111,Delon Wright,PG/SG,MEM,108.5,-3.0,4100,,24.6,6.0,26.2,22.7,23.5,24.2,47.7,21.00%,Delon Wright (12151718),26.2
