Name,Salary,Position,TeamAbbrev,Projection,Custom,Exposure,ID
Viktor Hovland,10900,G,John Deere Classic,79.1,80,50,Viktor Hovland (12940741)
Collin Morikawa,10700,G,John Deere Classic,78.4,79,50,Collin Morikawa (12940742)
Matthew Wolff,10500,G,John Deere Classic,67.7,60,50,Matthew Wolff (12940743)
Joaquin Niemann,10200,G,John Deere Classic,69.2,69.2,50,Joaquin Niemann (12940744)
Kevin Streelman,10000,G,John Deere Classic,73.6,73.6,50,Kevin Streelman (12940745)
Lucas Glover,9800,G,John Deere Classic,74.2,74.2,50,Lucas Glover (12940746)
Sungjae Im,9700,G,John Deere Classic,74.7,74.7,50,Sungjae Im (12940747)
Zach Johnson,9600,G,John Deere Classic,58.5,58.5,50,Zach Johnson (12940748)
Charles Howell III,9500,G,John Deere Classic,74.7,74.7,50,Charles Howell III (12940749)
Brian Harman,9400,G,John Deere Classic,61.9,61.9,50,Brian Harman (12940750)
Daniel Berger,9300,G,John Deere Classic,62.5,62.5,50,Daniel Berger (12940751)
Ryan Moore,9200,G,John Deere Classic,63.6,63.6,50,Ryan Moore (12940752)
Sam Burns,9100,G,John Deere Classic,63.0,63.0,50,Sam Burns (12940753)
Wyndham Clark,9000,G,John Deere Classic,66.5,66.5,50,Wyndham Clark (12940754)
Kevin Tway,8900,G,John Deere Classic,58.9,58.9,50,Kevin Tway (12940755)
Kyle Stanley,8800,G,John Deere Classic,56.7,56.7,50,Kyle Stanley (12940756)
Bud Cauley,8700,G,John Deere Classic,65.3,65.3,50,Bud Cauley (12940757)
Ryan Palmer,8600,G,John Deere Classic,68.0,68.0,50,Ryan Palmer (12940758)
Nate Lashley,8500,G,John Deere Classic,61.9,61.9,50,Nate Lashley (12940759)
Joel Dahmen,8400,G,John Deere Classic,60.4,60.4,50,Joel Dahmen (12940760)
Scott Brown,8300,G,John Deere Classic,60.9,60.9,50,Scott Brown (12940761)
Martin Laird,8200,G,John Deere Classic,59.0,59.0,50,Martin Laird (12940762)
Jason Dufner,8100,G,John Deere Classic,53.8,53.8,50,Jason Dufner (12940763)
Nick Watney,8000,G,John Deere Classic,57.9,57.9,50,Nick Watney (12940764)
